latitude,longitude,location,town,country
18.25,109.51,"('Sanya Shi', 'China')",Sanya Shi,China
18.25,109.52,"('Sanya Shi', 'China')",Sanya Shi,China
18.26,109.49,"('Sanya Shi', 'China')",Sanya Shi,China
18.26,109.52,"('Sanya Shi', 'China')",Sanya Shi,China
18.3,109.41,"('Sanya Shi', 'China')",Sanya Shi,China
18.3,109.5,"('Sanya Shi', 'China')",Sanya Shi,China
18.31,109.41,"('Sanya', 'China')",Sanya,China
18.51,110.02,"(None, 'China')",,China
18.75,110.22,"(None, 'China')",,China
18.78,109.52,"(None, 'China')",,China
18.78,98.96,"(None, 'Thailand')",,Thailand
18.79,109.51,"(None, 'China')",,China
19.26,110.47,"(None, 'China')",,China
19.41,110.45,"(None, 'China')",,China
19.53,110.68,"(None, 'China')",,China
19.74,110.0,"(None, 'China')",,China
19.82,-155.99,"('Kailua-Kona', 'United States')",Kailua-Kona,United States
19.83,109.92,"(None, 'China')",,China
19.84,109.93,"(None, 'China')",,China
19.99,110.29,"('Haikou', 'China')",Haikou,China
20.0,110.3,"('Haikou Shi', 'China')",Haikou Shi,China
20.0,110.31,"('Haikou', 'China')",Haikou,China
20.0,110.35,"('Haikou Shi', 'China')",Haikou Shi,China
20.01,110.32,"('Haikou', 'China')",Haikou,China
20.01,110.35,"('Haikou', 'China')",Haikou,China
20.01,110.36,"('Haikou', 'China')",Haikou,China
20.02,110.37,"('Haikou Shi', 'China')",Haikou Shi,China
20.03,110.33,"('Haikou Shi', 'China')",Haikou Shi,China
20.03,110.34,"('Haikou', 'China')",Haikou,China
20.03,110.35,"('Haikou Shi', 'China')",Haikou Shi,China
20.05,110.33,"('Haikou Shi', 'China')",Haikou Shi,China
20.05,110.35,"('Haikou', 'China')",Haikou,China
20.06,110.32,"('Haikou Shi', 'China')",Haikou Shi,China
20.07,110.32,"('Haikou Shi', 'China')",Haikou Shi,China
20.07,110.34,"('Haikou Shi', 'China')",Haikou Shi,China
20.49,110.34,"('Zhanjiang', 'China')",Zhanjiang,China
20.9,110.09,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.04,109.88,"('Zhanjiang', 'China')",Zhanjiang,China
21.19,110.39,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.2,110.38,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.2,110.39,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.2,110.4,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.22,110.31,"('Zhanjiang', 'China')",Zhanjiang,China
21.23,110.41,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.25,110.6,"('Zhanjiang', 'China')",Zhanjiang,China
21.27,110.33,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.34,110.47,"('Zhanjiang', 'China')",Zhanjiang,China
21.42,110.77,"('Zhanjiang', 'China')",Zhanjiang,China
21.43,109.13,"('Beihai', 'China')",Beihai,China
21.43,110.78,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.43,110.79,"('Zhanjiang Shi', 'China')",Zhanjiang Shi,China
21.43,110.81,"('Zhanjiang', 'China')",Zhanjiang,China
21.44,110.8,"('Zhanjiang', 'China')",Zhanjiang,China
21.44,110.81,"('Zhanjiang', 'China')",Zhanjiang,China
21.45,110.81,"('Zhanjiang', 'China')",Zhanjiang,China
21.47,109.09,"('Beihai Shi', 'China')",Beihai Shi,China
21.47,109.11,"('Beihai Shi', 'China')",Beihai Shi,China
21.47,109.12,"('Beihai Shi', 'China')",Beihai Shi,China
21.47,109.13,"('Beihai Shi', 'China')",Beihai Shi,China
21.48,109.1,"('Beihai Shi', 'China')",Beihai Shi,China
21.51,110.73,"('Zhanjiang', 'China')",Zhanjiang,China
21.53,108.15,"('Fangchenggang', 'China')",Fangchenggang,China
21.53,110.08,"('Zhanjiang', 'China')",Zhanjiang,China
21.59,111.59,"('Yangjiang', 'China')",Yangjiang,China
21.63,108.51,"('Fangchenggang', 'China')",Fangchenggang,China
21.63,110.91,"('Maoming Shi', 'China')",Maoming Shi,China
21.63,110.92,"('Maoming Shi', 'China')",Maoming Shi,China
21.64,110.91,"('Maoming Shi', 'China')",Maoming Shi,China
21.64,110.92,"('Maoming Shi', 'China')",Maoming Shi,China
21.65,110.15,"('Zhanjiang', 'China')",Zhanjiang,China
21.65,110.64,"('Maoming Shi', 'China')",Maoming Shi,China
21.66,110.93,"('Maoming Shi', 'China')",Maoming Shi,China
21.67,110.92,"('Maoming Shi', 'China')",Maoming Shi,China
21.68,110.84,"('Maoming', 'China')",Maoming,China
21.68,110.9,"('Maoming Shi', 'China')",Maoming Shi,China
21.69,108.35,"('Fangchenggang Shi', 'China')",Fangchenggang Shi,China
21.69,108.36,"('Fangchenggang', 'China')",Fangchenggang,China
21.69,110.83,"('Maoming', 'China')",Maoming,China
21.71,100.74,"('Xishuangbanna', 'China')",Xishuangbanna,China
21.71,109.27,"('Beihai', 'China')",Beihai,China
21.72,100.74,"('Xishuangbanna', 'China')",Xishuangbanna,China
21.72,111.72,"('Yangjiang Shi', 'China')",Yangjiang Shi,China
21.75,108.59,"('Qinzhou', 'China')",Qinzhou,China
21.84,111.87,"('Yangjiang', 'China')",Yangjiang,China
21.87,111.99,"('Yangjiang Shi', 'China')",Yangjiang Shi,China
21.88,111.93,"('Yangjiang Shi', 'China')",Yangjiang Shi,China
21.88,111.95,"('Yangjiang Shi', 'China')",Yangjiang Shi,China
21.88,111.96,"('Yangjiang Shi', 'China')",Yangjiang Shi,China
21.9,110.07,"('Yulin', 'China')",Yulin,China
21.9,110.86,"('Maoming Shi', 'China')",Maoming Shi,China
21.92,111.94,"('Yangjiang', 'China')",Yangjiang,China
21.93,107.56,"('Fangchenggang', 'China')",Fangchenggang,China
21.93,110.85,"('Maoming Shi', 'China')",Maoming Shi,China
21.93,111.94,"('Yangjiang', 'China')",Yangjiang,China
21.94,108.64,"('Qinzhou', 'China')",Qinzhou,China
21.96,108.62,"('Qinzhou Shi', 'China')",Qinzhou Shi,China
21.96,110.53,"('Maoming', 'China')",Maoming,China
21.97,108.61,"('Qinzhou', 'China')",Qinzhou,China
21.97,108.62,"('Qinzhou Shi', 'China')",Qinzhou Shi,China
22.03,111.73,"('Yangjiang', 'China')",Yangjiang,China
22.05,112.32,"('Jiangmen', 'China')",Jiangmen,China
22.05,112.33,"('Jiangmen', 'China')",Jiangmen,China
22.06,106.73,"('Chongzuo', 'China')",Chongzuo,China
22.07,106.73,"('Chongzuo', 'China')",Chongzuo,China
22.09,110.18,"('Yulin', 'China')",Yulin,China
22.1,112.32,"('Jiangmen', 'China')",Jiangmen,China
22.11,113.19,"('Zhuhai', 'China')",Zhuhai,China
22.12,106.75,"('Chongzuo', 'China')",Chongzuo,China
22.15,113.18,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.17,114.42,"('Undefined', 'Undefined')",Undefined,Undefined
22.2,111.77,"('Yangjiang', 'China')",Yangjiang,China
22.2,113.13,"('Zhuhai', 'China')",Zhuhai,China
22.2,113.44,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.2,114.17,"('Undefined', 'Undefined')",Undefined,Undefined
22.21,113.55,"(None, 'Macau')",,Macau
22.22,113.55,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.24,113.51,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.24,113.53,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.24,113.54,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.24,113.55,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.25,113.15,"('Jiangmen', 'China')",Jiangmen,China
22.25,113.5,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.26,113.5,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.26,113.51,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.26,113.55,"('Zhuhai', 'China')",Zhuhai,China
22.27,109.54,"('Qinzhou', 'China')",Qinzhou,China
22.28,109.53,"('Qinzhou', 'China')",Qinzhou,China
22.28,113.51,"('Zhuhai', 'China')",Zhuhai,China
22.31,114.03,"('Undefined', 'Undefined')",Undefined,Undefined
22.32,110.26,"('Yulin Shi', 'China')",Yulin Shi,China
22.36,106.84,"('Chongzuo', 'China')",Chongzuo,China
22.36,112.68,"('Jiangmen', 'China')",Jiangmen,China
22.36,113.36,"('Zhongshan', 'China')",Zhongshan,China
22.36,113.59,"('Zhuhai Shi', 'China')",Zhuhai Shi,China
22.37,112.68,"('Jiangmen Shi', 'China')",Jiangmen Shi,China
22.37,113.46,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.38,108.73,"('Qinzhou', 'China')",Qinzhou,China
22.38,112.67,"('Jiangmen Shi', 'China')",Jiangmen Shi,China
22.38,113.65,"('Undefined', 'Undefined')",Undefined,Undefined
22.4,113.33,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.42,111.21,"('Maoming', 'China')",Maoming,China
22.42,113.32,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.43,109.29,"('Qinzhou Shi', 'China')",Qinzhou Shi,China
22.45,113.79,"('Undefined', 'Undefined')",Undefined,Undefined
22.47,113.79,"('Undefined', 'Undefined')",Undefined,Undefined
22.49,113.92,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.49,113.93,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.49,113.94,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.5,113.41,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.5,113.92,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.51,113.04,"('Jiangmen Shi', 'China')",Jiangmen Shi,China
22.51,113.38,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.51,113.89,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.51,113.92,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.51,114.05,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.52,113.33,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.52,113.34,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.52,113.4,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.52,114.03,"(None, 'China')",,China
22.52,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.53,113.32,"('Zhongshan', 'China')",Zhongshan,China
22.53,113.33,"('Zhongshan', 'China')",Zhongshan,China
22.53,113.39,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.53,113.91,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.53,113.93,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.53,113.94,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.53,114.02,"('Shenzhen', 'China')",Shenzhen,China
22.53,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.53,114.06,"(None, 'China')",,China
22.54,110.45,"('Yulin', 'China')",Yulin,China
22.54,113.39,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.54,113.4,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.54,113.91,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,113.93,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,113.94,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,113.95,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,114.0,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,114.02,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,114.05,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,114.06,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,114.08,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,114.09,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.54,114.1,"('Shenzhen', 'China')",Shenzhen,China
22.54,114.11,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.55,113.89,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.55,113.94,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.55,113.95,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.55,113.98,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.55,114.01,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.55,114.03,"('Shenzhen', 'China')",Shenzhen,China
22.55,114.08,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.55,114.1,"('Shenzhen', 'China')",Shenzhen,China
22.55,114.14,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,113.38,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.56,113.46,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.56,113.89,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,113.94,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,113.96,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,113.97,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,113.98,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.02,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.03,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.06,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.08,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.1,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.11,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.13,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.56,114.23,"('Shenzhen', 'China')",Shenzhen,China
22.57,113.35,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.57,113.44,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.57,113.45,"('Zhongshan', 'China')",Zhongshan,China
22.57,113.48,"('Zhongshan', 'China')",Zhongshan,China
22.57,113.53,"('Zhongshan', 'China')",Zhongshan,China
22.57,113.86,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.57,113.9,"('Shenzhen', 'China')",Shenzhen,China
22.57,113.91,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.57,113.96,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.57,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.57,114.07,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.57,114.11,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.58,113.45,"('Zhongshan', 'China')",Zhongshan,China
22.58,113.86,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.58,113.88,"('Shenzhen', 'China')",Shenzhen,China
22.58,113.9,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.58,113.93,"('Shenzhen', 'China')",Shenzhen,China
22.58,113.95,"('Shenzhen', 'China')",Shenzhen,China
22.58,113.96,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.58,114.05,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.58,114.12,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.58,114.13,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.58,114.48,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.59,112.88,"('Jiangmen', 'China')",Jiangmen,China
22.59,113.03,"('Jiangmen', 'China')",Jiangmen,China
22.59,113.14,"('Jiangmen', 'China')",Jiangmen,China
22.59,113.21,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.59,113.24,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.59,113.87,"('Shenzhen', 'China')",Shenzhen,China
22.59,113.94,"('Shenzhen', 'China')",Shenzhen,China
22.59,113.95,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.59,113.96,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.59,114.13,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.59,114.75,"('Huizhou', 'China')",Huizhou,China
22.6,108.18,"('Nanning', 'China')",Nanning,China
22.6,110.1,"('Yulin', 'China')",Yulin,China
22.6,113.83,"('Shenzhen', 'China')",Shenzhen,China
22.6,113.84,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.6,113.85,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.6,114.04,"('Shenzhen', 'China')",Shenzhen,China
22.6,114.05,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.6,114.11,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.6,114.25,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.6,114.51,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.6,114.54,"('Shenzhen', 'China')",Shenzhen,China
22.61,108.18,"('Nanning', 'China')",Nanning,China
22.61,110.13,"('Yulin', 'China')",Yulin,China
22.61,112.42,"('Jiangmen', 'China')",Jiangmen,China
22.61,114.03,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.61,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.61,114.05,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.61,114.13,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.61,114.16,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.61,114.42,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.62,114.02,"('Shenzhen', 'China')",Shenzhen,China
22.62,114.03,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.62,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.62,114.13,"('Shenzhen', 'China')",Shenzhen,China
22.62,114.14,"('Shenzhen', 'China')",Shenzhen,China
22.62,114.22,"('Shenzhen', 'China')",Shenzhen,China
22.63,113.67,"('Guangzhou', 'China')",Guangzhou,China
22.63,113.84,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.63,113.93,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.63,114.01,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.63,114.02,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.63,114.03,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.63,114.06,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.63,114.07,"('Shenzhen', 'China')",Shenzhen,China
22.63,114.1,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.63,114.16,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.64,113.82,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.64,113.83,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.64,114.01,"('Shenzhen', 'China')",Shenzhen,China
22.64,114.02,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.64,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.64,114.06,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.64,114.13,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.64,114.18,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.65,113.24,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.65,113.25,"('Zhongshan', 'China')",Zhongshan,China
22.65,114.0,"('Shenzhen', 'China')",Shenzhen,China
22.65,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.65,114.06,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.65,114.07,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.65,114.12,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.65,114.15,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.65,114.21,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.66,110.33,"('Yulin', 'China')",Yulin,China
22.66,113.88,"('Shenzhen', 'China')",Shenzhen,China
22.66,114.01,"('Shenzhen', 'China')",Shenzhen,China
22.66,114.02,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.66,114.04,"('Shenzhen', 'China')",Shenzhen,China
22.66,114.06,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.66,114.21,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.66,114.23,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.66,114.24,"('Shenzhen', 'China')",Shenzhen,China
22.67,110.33,"('Yulin', 'China')",Yulin,China
22.67,113.24,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.67,113.8,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.67,113.97,"('Shenzhen', 'China')",Shenzhen,China
22.67,113.99,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.67,114.0,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.67,114.01,"('Shenzhen', 'China')",Shenzhen,China
22.67,114.02,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.67,114.03,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.67,114.04,"('Shenzhen', 'China')",Shenzhen,China
22.67,114.06,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.67,114.13,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,109.26,"('Nanning Shi', 'China')",Nanning Shi,China
22.68,110.19,"('Yulin', 'China')",Yulin,China
22.68,113.22,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.68,113.79,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,113.93,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,113.94,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,113.97,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,113.98,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,113.99,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,114.0,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,114.01,"('Shenzhen', 'China')",Shenzhen,China
22.68,114.02,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,114.16,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.68,114.21,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,109.26,"('Nanning Shi', 'China')",Nanning Shi,China
22.69,109.27,"('Nanning Shi', 'China')",Nanning Shi,China
22.69,113.41,"('Zhongshan', 'China')",Zhongshan,China
22.69,113.79,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,113.8,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,113.81,"('Shenzhen', 'China')",Shenzhen,China
22.69,113.93,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,113.99,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.03,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.07,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.08,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.12,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.13,"('Shenzhen', 'China')",Shenzhen,China
22.69,114.23,"('Shenzhen', 'China')",Shenzhen,China
22.69,114.24,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.28,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.33,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.69,114.36,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.7,110.34,"('Yulin Shi', 'China')",Yulin Shi,China
22.7,112.22,"('Yunfu Shi', 'China')",Yunfu Shi,China
22.7,113.17,"('Foshan Shi', 'China')",Foshan Shi,China
22.7,113.28,"('Zhongshan', 'China')",Zhongshan,China
22.7,113.78,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.7,113.96,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.7,114.12,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.7,114.13,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.7,114.23,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.7,114.33,"('Shenzhen', 'China')",Shenzhen,China
22.7,114.34,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.71,109.94,"('Yulin', 'China')",Yulin,China
22.71,110.34,"('Yulin', 'China')",Yulin,China
22.71,113.54,"('Guangzhou Shi', 'China')",Guangzhou Shi,China
22.71,113.55,"('Guangzhou', 'China')",Guangzhou,China
22.71,113.82,"('Shenzhen', 'China')",Shenzhen,China
22.71,113.9,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.71,114.08,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.71,114.2,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.71,114.25,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.71,115.53,"('Shanwei', 'China')",Shanwei,China
22.72,109.28,"('Nanning', 'China')",Nanning,China
22.72,109.82,"('Yulin', 'China')",Yulin,China
22.72,113.2,"('Foshan', 'China')",Foshan,China
22.72,113.28,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.72,113.29,"('Zhongshan Shi', 'China')",Zhongshan Shi,China
22.72,113.53,"('Guangzhou Shi', 'China')",Guangzhou Shi,China
22.72,113.78,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.72,113.86,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.72,114.04,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.72,114.16,"('Dongguan Shi', 'China')",Dongguan Shi,China
22.72,114.24,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.72,114.3,"('Shenzhen Shi', 'China')",Shenzhen Shi,China
22.72,114.41,"('Huizhou Shi', 'China')",Huizhou Shi,China
